sku,product_name,brand,category1,category2,category3
P000002327,Wet Plus Tissue - Refill 60pcs,Nepia,Personal care,Wet wipes,Disposable wet wipes
P000001055,Iodised Table Salt 300g,Cerebos,Noodles / Cooking needs / Processed food (cold),Condiments & sauces / Cooking needs,Salt
P000001501,Pure Olive Oil 500mL,Lion & Globe,Rice / Oil / Canned food / Fruits / Vegetables / Meat,Edible oil / Cooking oil,Olive oil
P000001455,Pomace Olive Oil 1L x 2,Camel Brand,Rice / Oil / Canned food / Fruits / Vegetables / Meat,Edible oil / Cooking oil,Blended pomace olive oil
P000001838,Pure Peanut Oil 1L,Knife,Rice / Oil / Canned food / Fruits / Vegetables / Meat,Edible oil / Cooking oil,Peanut oil
P000000998,Mach3 Turbo Razor Blades - Refill Cartridge 4pcs,Gillette,Personal care,Men's care,Razor blade refill cartridges
P000001581,LipIce Lipbalm - Apple 3.5g,Mentholatum,Personal care,Skin care,Lip balms
P000003200,Grape Seed Hydrating Creamy Foam 125mL,L'Oreal Paris,Personal care,Skin care,Face cleansing foams / Facial cleansers / Face cleansing gels
P000004132,Manna Wafer 35g,Morinaga,Milk powder / Baby care,Baby foods / Infant foods,Baby snacks
P000001176,Can 330mL x 6,Skol Beer,Beer / Wines / Spirits,Beer,Canned
P000003412,Growing Up Formula 800g,Meiji,Milk powder / Baby care,Infant formula / Growing-up formula,Infant formula / Follow-on formula / Toddler formula / Growing-up formula
P000002661,1 Organic Infant Formula 400g,Holle,Milk powder / Baby care,Infant formula / Growing-up formula,Infant formula / Follow-on formula / Toddler formula / Growing-up formula
P000002624,2 Organic Infant Follow-on Formula 600g,Holle,Milk powder / Baby care,Infant formula / Growing-up formula,Infant formula / Follow-on formula / Toddler formula / Growing-up formula
P000002625,3 Organic Growing-up Milk 600g,Holle,Milk powder / Baby care,Infant formula / Growing-up formula,Infant formula / Follow-on formula / Toddler formula / Growing-up formula
