month,category1,retailer,sku_count,brand_count,category_total_sku_count,exclusive_sku_count,common_sku_count,category_coverage_pct
2024-01,Bakery / Cereals / Spreads,AEON,2,2,112,2,0,0.017857142857142856
2024-01,Bakery / Cereals / Spreads,DCHFOOD,5,3,112,0,5,0.044642857142857144
2024-01,Bakery / Cereals / Spreads,JASONS,84,22,112,0,84,0.75
2024-01,Bakery / Cereals / Spreads,PARKNSHOP,82,29,112,17,65,0.7321428571428571
2024-01,Bakery / Cereals / Spreads,WELLCOME,87,22,112,2,85,0.7767857142857143
2024-01,Beer / Wines / Spirits,AEON,4,3,55,4,0,0.07272727272727272
2024-01,Beer / Wines / Spirits,DCHFOOD,7,7,55,1,6,0.12727272727272726
2024-01,Beer / Wines / Spirits,JASONS,30,20,55,0,30,0.5454545454545454
2024-01,Beer / Wines / Spirits,PARKNSHOP,48,24,55,7,41,0.8727272727272727
2024-01,Beer / Wines / Spirits,WELLCOME,42,22,55,1,41,0.7636363636363637
2024-01,Candies / Biscuits / Snacks,DCHFOOD,8,7,197,1,7,0.04060913705583756
2024-01,Candies / Biscuits / Snacks,JASONS,141,69,197,3,138,0.7157360406091371
2024-01,Candies / Biscuits / Snacks,MANNINGS,16,12,197,0,16,0.08121827411167512
2024-01,Candies / Biscuits / Snacks,PARKNSHOP,170,74,197,31,139,0.8629441624365483
2024-01,Candies / Biscuits / Snacks,WATSONS,3,2,197,0,3,0.015228426395939087
2024-01,Candies / Biscuits / Snacks,WELLCOME,151,70,197,3,148,0.766497461928934
2024-01,Dairy / Soy products / Eggs,AEON,1,1,193,0,1,0.0051813471502590676
2024-01,Dairy / Soy products / Eggs,DCHFOOD,11,7,193,0,11,0.05699481865284974
2024-01,Dairy / Soy products / Eggs,JASONS,161,47,193,0,161,0.8341968911917098
2024-01,Dairy / Soy products / Eggs,PARKNSHOP,163,51,193,23,140,0.844559585492228
2024-01,Dairy / Soy products / Eggs,WATSONS,8,2,193,0,8,0.04145077720207254
2024-01,Dairy / Soy products / Eggs,WELLCOME,165,46,193,1,164,0.8549222797927462
2024-01,Drinks,AEON,3,3,169,1,2,0.01775147928994083
2024-01,Drinks,DCHFOOD,11,5,169,0,11,0.0650887573964497
2024-01,Drinks,JASONS,122,58,169,0,122,0.7218934911242604
2024-01,Drinks,PARKNSHOP,150,62,169,35,115,0.8875739644970414
2024-01,Drinks,WATSONS,6,3,169,0,6,0.03550295857988166
2024-01,Drinks,WELLCOME,129,58,169,4,125,0.7633136094674556
2024-01,Household / Pet food and care,AEON,8,6,191,0,8,0.041884816753926704
2024-01,Household / Pet food and care,JASONS,129,56,191,1,128,0.675392670157068
2024-01,Household / Pet food and care,MANNINGS,1,1,191,0,1,0.005235602094240838
2024-01,Household / Pet food and care,PARKNSHOP,174,66,191,43,131,0.9109947643979057
